#time 	 phase 	 fraction
0.000360 	 -180.000000 	 0.653680
0.000360 	 -150.000000 	 0.561659
0.000360 	 -120.000000 	 0.319142
0.000360 	 -90.000000 	 -0.008889
0.000360 	 -60.000000 	 -0.334539
0.000360 	 -30.000000 	 -0.570548
0.000360 	 -0.000000 	 -0.653680
0.000360 	 30.000000 	 -0.561659
0.000360 	 60.000000 	 -0.319142
0.000360 	 90.000000 	 0.008889
0.000360 	 120.000000 	 0.334539
0.000360 	 150.000000 	 0.570548
0.000480 	 -180.000000 	 0.598886
0.000480 	 -150.000000 	 0.506168
0.000480 	 -120.000000 	 0.277823
0.000480 	 -90.000000 	 -0.024964
0.000480 	 -60.000000 	 -0.321062
0.000480 	 -30.000000 	 -0.531132
0.000480 	 -0.000000 	 -0.598886
0.000480 	 30.000000 	 -0.506168
0.000480 	 60.000000 	 -0.277823
0.000480 	 90.000000 	 0.024964
0.000480 	 120.000000 	 0.321062
0.000480 	 150.000000 	 0.531132
0.000600 	 -180.000000 	 0.533705
0.000600 	 -150.000000 	 0.439742
0.000600 	 -120.000000 	 0.227951
0.000600 	 -90.000000 	 -0.044920
0.000600 	 -60.000000 	 -0.305754
0.000600 	 -30.000000 	 -0.484662
0.000600 	 -0.000000 	 -0.533705
0.000600 	 30.000000 	 -0.439742
0.000600 	 60.000000 	 -0.227951
0.000600 	 90.000000 	 0.044920
0.000600 	 120.000000 	 0.305754
0.000600 	 150.000000 	 0.484662
0.000720 	 -180.000000 	 0.460519
0.000720 	 -150.000000 	 0.365591
0.000720 	 -120.000000 	 0.172704
0.000720 	 -90.000000 	 -0.066460
0.000720 	 -60.000000 	 -0.287815
0.000720 	 -30.000000 	 -0.432051
0.000720 	 -0.000000 	 -0.460519
0.000720 	 30.000000 	 -0.365591
0.000720 	 60.000000 	 -0.172704
0.000720 	 90.000000 	 0.066460
0.000720 	 120.000000 	 0.287815
0.000720 	 150.000000 	 0.432051
0.000840 	 -180.000000 	 0.382000
0.000840 	 -150.000000 	 0.287312
0.000840 	 -120.000000 	 0.115640
0.000840 	 -90.000000 	 -0.087019
0.000840 	 -60.000000 	 -0.266360
0.000840 	 -30.000000 	 -0.374331
0.000840 	 -0.000000 	 -0.382000
0.000840 	 30.000000 	 -0.287312
0.000840 	 60.000000 	 -0.115640
0.000840 	 90.000000 	 0.087019
0.000840 	 120.000000 	 0.266360
0.000840 	 150.000000 	 0.374331
0.000960 	 -180.000000 	 0.300984
0.000960 	 -150.000000 	 0.208915
0.000960 	 -120.000000 	 0.060868
0.000960 	 -90.000000 	 -0.103490
0.000960 	 -60.000000 	 -0.240117
0.000960 	 -30.000000 	 -0.312405
0.000960 	 -0.000000 	 -0.300984
0.000960 	 30.000000 	 -0.208915
0.000960 	 60.000000 	 -0.060868
0.000960 	 90.000000 	 0.103490
0.000960 	 120.000000 	 0.240117
0.000960 	 150.000000 	 0.312405
0.001080 	 -180.000000 	 0.221491
0.001080 	 -150.000000 	 0.135391
0.001080 	 -120.000000 	 0.013014
0.001080 	 -90.000000 	 -0.112850
0.001080 	 -60.000000 	 -0.208477
0.001080 	 -30.000000 	 -0.248242
0.001080 	 -0.000000 	 -0.221491
0.001080 	 30.000000 	 -0.135391
0.001080 	 60.000000 	 -0.013014
0.001080 	 90.000000 	 0.112850
0.001080 	 120.000000 	 0.208477
0.001080 	 150.000000 	 0.248242
0.001200 	 -180.000000 	 0.148643
0.001200 	 -150.000000 	 0.072105
0.001200 	 -120.000000 	 -0.023753
0.001200 	 -90.000000 	 -0.113247
0.001200 	 -60.000000 	 -0.172396
0.001200 	 -30.000000 	 -0.185352
0.001200 	 -0.000000 	 -0.148643
0.001200 	 30.000000 	 -0.072105
0.001200 	 60.000000 	 0.023753
0.001200 	 90.000000 	 0.113247
0.001200 	 120.000000 	 0.172396
0.001200 	 150.000000 	 0.185352
0.001320 	 -180.000000 	 0.087433
0.001320 	 -150.000000 	 0.023334
0.001320 	 -120.000000 	 -0.047018
0.001320 	 -90.000000 	 -0.104771
0.001320 	 -60.000000 	 -0.134451
0.001320 	 -30.000000 	 -0.128105
0.001320 	 -0.000000 	 -0.087433
0.001320 	 30.000000 	 -0.023334
0.001320 	 60.000000 	 0.047018
0.001320 	 90.000000 	 0.104771
