#time 	 Mag 	 e_Mag
0.000360 	 0.980057 	 0.000882
0.000480 	 0.940146 	 0.001962
0.000600 	 0.877712 	 0.002862
0.000720 	 0.793701 	 0.003258
0.000840 	 0.689934 	 0.003113
0.000960 	 0.570675 	 0.002596
0.001080 	 0.444243 	 0.001953
0.001200 	 0.322300 	 0.001405
0.001320 	 0.216221 	 0.001111
0.001440 	 0.133092 	 0.001093
0.001560 	 0.074712 	 0.001213
0.001740 	 0.030273 	 0.001305
0.002040 	 0.023448 	 0.000361
0.002340 	 0.012942 	 0.000109
0.002640 	 0.004644 	 0.000039
0.002940 	 0.001361 	 0.000036
0.003240 	 0.000490 	 0.000025
0.003940 	 0.000102 	 0.000003
0.004640 	 0.000020 	 0.000001
